"site.name","month","date.on.trap","date.off.trap","n_days","precipitation_accumulation_mm","max_relative_humidity_mean","min_relative_humidity_mean","surface_downwelling_shortwave_flux_in_air_mean","specific_humidity_mean","max_air_temperature_mean_K","min_air_temperature_mean_K","mean_vapor_pressure_deficit_mean_kPa","wind_speed_ms_mean","PC1","PC2"
"ABUCR","2023-02-01","2023-02-01","2023-02-09",9,0,61.1222222222222,17.9222222222222,186.6,0.00314888888888889,277.544444444444,293.477777777778,1.12777777777778,2.77777777777778,0.101928380102685,-1.04559516482892
"ABUCR","2023-03-01","2023-03-03","2023-03-09",7,0,75.5714285714286,27.3714285714286,221.542857142857,0.00432285714285714,278.857142857143,293.857142857143,1.01142857142857,3.21428571428571,0.545515668432575,-0.564507764258008
"ABUCR","2023-04-01","2023-04-05","2023-04-12",8,0,58.05,15.35,287.6375,0.00477125,283.5625,302.4875,2.015,2.5,-0.50708695703929,-0.8614134313167
"ABUCR","2023-05-01","2023-05-01","2023-05-10",10,0,74.16,26.72,308.98,0.006162,284.33,300.13,1.505,4.55,0.424500553897948,1.25591045333515
"ABUCR","2023-06-01","2023-06-09","2023-06-16",8,0,74.225,26.6625,315.325,0.00945375,291.025,307.4,2.27875,4.575,-0.0661549831940724,1.79181233890097
"ABUCR","2023-07-01","2023-07-12","2023-07-19",8,0,47.175,13.4125,313.8375,0.00955625,298.725,318.1375,4.97625,3.35,-1.75377476646251,1.23884902382005
"ABUCR","2023-08-01","2023-08-02","2023-08-09",8,0,41.2625,11.55,297.3875,0.0067725,295.425,314.6625,4.3325,3.5875,-1.62694005151475,1.26640513293304
"ABUCR","2023-09-01","2023-09-06","2023-09-13",8,0,53.925,17.475,236.3375,0.0086825,295.4375,312.0125,3.515,3.7,-1.21996237947713,1.31906967824355
"ABUCR","2023-10-01","2023-10-11","2023-10-18",8,0,52.8625,12.1,206.825,0.00496375,287.2375,306.825,2.6875,1.875,-1.09060548365167,-1.20766685948809
"ABUCR","2023-11-01","2023-11-10","2023-11-14",5,0,35.24,7.1,162.52,0.002506,283.64,300.26,2.046,2.02,-1.31599012767934,-1.23854135024038
"LRVP","2023-02-01","2023-02-01","2023-02-09",9,0,82.3888888888889,30.5444444444444,195.688888888889,0.00491555555555556,279,291.444444444444,0.733333333333333,2.65555555555556,0.601912407118046,-1.17307151928507
"LRVP","2023-03-01","2023-03-03","2023-03-09",7,0,99.9142857142857,56.5857142857143,228.4,0.00643714285714286,279.257142857143,287.871428571429,0.271428571428571,2.57142857142857,1.08822999456605,-1.33257843735284
"LRVP","2023-04-01","2023-04-05","2023-04-12",8,5.3,99.925,56.175,305.45,0.00769125,282.225,290.725,0.3525,2.05,1.27456113330113,-1.40289538823834
"LRVP","2023-05-01","2023-05-01","2023-05-10",10,5.2,96.9,64.65,296.29,0.008305,284.23,290.16,0.291,3.36,1.34700764540448,0.130124365249972
"LRVP","2023-06-01","2023-06-09","2023-06-16",8,1,94.9375,72.3875,329.025,0.010345,288.2875,292.125,0.28875,2.4,0.32487186431968,-0.750911010306977
"LRVP","2023-07-01","2023-07-05","2023-07-12",8,0,95.125,54.425,354.525,0.0104075,288.6625,296.3875,0.645,2.125,0.133760626470364,-1.05764983039965
"LRVP","2023-08-01","2023-08-02","2023-08-09",8,0,97.525,51.5875,302.3125,0.0119975,290.1125,299.425,0.74625,2.8125,0.267178520361356,-0.241082991819505
"LRVP","2023-09-01","2023-09-06","2023-09-13",8,0,96.2,50.875,254.6625,0.01255875,291.2,300.2625,0.8275,2.1625,-0.0137630840335468,-0.830708321079603
"LRVP","2023-10-01","2023-10-04","2023-10-11",8,2.7,99.425,45.35,225.75,0.01078375,287.5125,299.0875,0.7875,2.0375,0.599824020994841,-1.13244758517079
"PSP","2023-02-01","2023-02-02","2023-02-10",9,0,54.9111111111111,14.8333333333333,182.933333333333,0.00291333333333333,278.733333333333,294.166666666667,1.24111111111111,2.56666666666667,-0.22514251789994,-1.14335186451208
"PSP","2023-03-01","2023-03-02","2023-03-08",7,0,67.2142857142857,24.4714285714286,224.585714285714,0.00414857142857143,280.8,294.471428571429,1.14,2.31428571428571,-0.0718818962824321,-1.31367786299486
"PSP","2023-04-01","2023-04-06","2023-04-13",8,0,39.9,9.4875,294.3125,0.003555,286.8875,304.15,2.53625,2.5125,-1.29666886007459,-0.500588370108376
"PSP","2023-05-01","2023-05-03","2023-05-11",9,0,50.4111111111111,15.9777777777778,341.244444444444,0.00482555555555556,287.944444444444,303.433333333333,2.25,3.35555555555556,-0.852108061087257,0.406421258619749
"PSP","2023-06-01","2023-06-08","2023-06-15",8,0,56.3625,18.275,343.8375,0.00692875,292.1,307.1875,2.67125,3.25,-1.00900526351745,0.581757808221902
"PSP","2023-07-01","2023-07-06","2023-07-13",8,0,46.175,13.2375,337.3125,0.00916625,299.9375,315.7625,4.57625,4.0875,-1.69243008688481,2.10726730223903
"PSP","2023-08-01","2023-08-03","2023-08-10",8,0,49.9375,14.6625,315.175,0.00988625,300.5375,315.6,4.48,3.8875,-1.67343416933533,1.92437044495769
"PSP","2023-09-01","2023-09-06","2023-09-13",8,0,55.775,16.0875,240.8,0.009655,298.3375,313.55,3.8725,2.8875,-1.58063809757077,0.681182283718134
"PSP","2023-10-01","2023-10-05","2023-10-12",8,0,55.6875,15.575,220.475,0.00729375,292.8625,309.15,2.995,2.6375,-1.23697969538648,0.00318331266635586
"PSP","2023-11-01","2023-11-09","2023-11-14",6,0,38.7333333333333,9.01666666666667,170.066666666667,0.002955,284.516666666667,299.95,1.975,2.56666666666667,-1.14172978382642,-0.618544546288776
"PSP","2023-12-01","2023-12-04","2023-12-12",9,0,44.1444444444444,12.7111111111111,147.611111111111,0.00298111111111111,281.822222222222,295.855555555556,1.48222222222222,2.17777777777778,-0.874340408295668,-1.25845638576649
"TDS","2023-02-01","2023-02-02","2023-02-10",9,0,56.7,26.8222222222222,191.511111111111,0.00310111111111111,276.755555555556,285.088888888889,0.656666666666667,2.96666666666667,0.0744587239058335,-0.885271569617153
"TDS","2023-03-01","2023-03-07","2023-03-14",8,35.7,91.7,56.1125,194.65,0.0067525,278.3625,287.4875,0.3225,3.9625,4.85851805355063,1.77049786785827
"TDS","2023-04-01","2023-04-04","2023-04-11",8,0,69.1125,28.6,305.9125,0.0050425,279.6875,291.0125,0.8525,2.2625,0.0552329603135763,-1.46244332303174
"TDS","2023-05-01","2023-05-03","2023-05-11",9,5.5,98.8666666666667,62.7666666666667,331.3,0.00754555555555556,277.4,288.3,0.248888888888889,4.33333333333333,2.18499777524617,0.63089394142541
"TDS","2023-06-01","2023-06-07","2023-06-14",8,2.2,100,67.1,339.4875,0.01050125,281.7125,291.85,0.21,4.175,1.52527195735156,0.63329785346508
"TDS","2023-07-01","2023-07-06","2023-07-13",8,0,54.2625,20.25,335.9375,0.0072625,288.9125,302.9625,1.97,3.7125,-0.720647551206312,0.833221548906224
"TDS","2023-08-01","2023-08-03","2023-08-10",8,0.4,56.3125,25.5375,292.5375,0.00778,290.3625,303.15,2.02625,3.8,-0.705140557525064,1.0432538600228
"TDS","2023-09-01","2023-09-07","2023-09-14",8,0,61.4,28.1375,246.275,0.0091275,291.7625,302.7125,1.8675,3.8,-0.697106597472041,1.10469494928776
"TDS","2023-10-01","2023-10-05","2023-10-12",8,0.4,56.825,24.1875,230.8875,0.0066075,288.9375,299.2375,1.69875,2.8875,-0.808406556591084,-0.0217287067121382
"WR","2023-02-01","2023-02-01","2023-02-09",9,0.6,61.3,25.0777777777778,188.422222222222,0.00292333333333333,274.622222222222,286.311111111111,0.681111111111111,2.92222222222222,0.421185027492921,-1.0900551810505
"WR","2023-03-01","2023-03-03","2023-03-09",7,0,85.7428571428571,46.8142857142857,221.742857142857,0.00412142857142857,274.5,283.771428571429,0.391428571428571,3.17142857142857,1.16495442512877,-0.994197871559734
"WR","2023-04-01","2023-04-05","2023-04-12",8,3,80.8375,29.3875,296.6125,0.00517875,277.875,292.6125,0.84125,2.45,0.89165518409146,-1.32484381155494
"WR","2023-05-01","2023-05-01","2023-05-10",10,20.6,96.78,56.28,313.12,0.006279,278.35,287.3,0.35,4.57,3.63576359280009,1.66978536514262
"WR","2023-06-01","2023-06-09","2023-06-16",8,5.1,90.475,56.7125,329.7625,0.00884875,285.0875,292.7,0.57125,4.45,1.34865413995626,1.36345713252381
