Site ,Month_Year,Days_on_Trap
ABUCR,22-Nov,7
ABUCR,22-Dec,8
ABUCR,23-Feb,9
ABUCR,23-Mar,7
ABUCR,23-Apr,8
ABUCR,23-May,10
ABUCR,23-Jun,8
ABUCR,23-Jul,8
ABUCR,23-Aug,8
ABUCR,23-Sep,8
ABUCR,23-Oct,8
ABUCR,23-Nov,5
LRVP,22-Aug,8
LRVP,22-Sep,8
LRVP,22-Oct,9
LRVP,22-Nov,7
LRVP,22-Dec,8
LRVP,23-Feb,9
LRVP,23-Mar,7
LRVP,23-Apr,8
LRVP,23-May,10
LRVP,23-Jun,8
LRVP,23-Jul,8
LRVP,23-Aug,8
LRVP,23-Sep,5
LRVP,23-Oct,8
PSP,23-Feb,9
PSP,23-Mar,7
PSP,23-Apr,8
PSP,23-May,9
PSP,23-Jun,8
PSP,23-Jul,8
PSP,23-Aug,8
PSP,23-Sep,8
PSP,23-Oct,8
PSP,23-Nov,6
PSP,23-Dec,9
TDS,22-Sep,8
TDS,22-Oct,8
TDS,22-Nov,9
TDS,22-Dec,8
TDS,23-Feb,9
TDS,23-Mar,8
TDS,23-Apr,8
TDS,23-May,9
TDS,23-Jun,8
TDS,23-Jul,8
TDS,23-Aug,8
TDS,23-Sep,8
TDS,23-Oct,8
WR,22-Aug,8
WR,22-Sep,8
WR,22-Oct,8
WR,22-Nov,7
WR,22-Dec,8
WR,23-Feb,9
WR,23-Mar,7
WR,23-Apr,8
WR,23-May,10
WR,23-Jun,8
WR,23-Jul,8
WR,23-Aug,8
WR,23-Sep,8
WR,23-Oct,8
